n_iter,elapsed_time,cost,n_routes,mechanism
0,12.158,1.86688e+06,0,initialization
0,12.467,1.86334e+06,70,crossover
11,16.262,1.85669e+06,70,mutation
15,17.469,1.85519e+06,70,mutation
51,28.314,1.84827e+06,70,mutation
96,40.734,1.84568e+06,70,crossover
98,41.361,1.842e+06,70,mutation
126,49.359,1.83892e+06,70,mutation
167,62.404,1.83499e+06,70,mutation
178,65.53,1.83446e+06,70,crossover
185,67.656,1.82546e+06,70,mutation
239,84.186,1.82177e+06,70,mutation
251,87.562,1.80828e+06,70,mutation
255,88.986,1.80164e+06,70,mutation
280,97.749,1.80145e+06,70,mutation
290,100.983,1.79818e+06,70,mutation
340,115.438,1.79594e+06,70,mutation
345,117.469,1.79447e+06,70,mutation
382,129.356,1.79394e+06,70,mutation
405,135.922,1.78958e+06,70,mutation
435,146.812,1.7881e+06,70,mutation
448,151.299,1.78758e+06,70,mutation
473,159.438,1.78225e+06,70,mutation
494,164.875,1.78171e+06,70,crossover
604,203.501,1.7781e+06,70,mutation
937,313.499,1.77768e+06,70,crossover
1092,365.281,1.77046e+06,70,mutation
1244,413.375,1.76925e+06,70,mutation
1316,437.077,1.7673e+06,70,mutation
1404,465.064,1.76461e+06,70,mutation
1734,570.265,1.764e+06,70,mutation
1761,578.843,1.76327e+06,70,crossover
2058,672.171,1.76204e+06,70,mutation
2161,704.532,1.76008e+06,70,crossover
2488,809.109,1.76003e+06,70,mutation
2634,855.78,1.75986e+06,70,mutation
2679,867.61,1.75794e+06,70,crossover
2919,940.233,1.75723e+06,70,mutation
3225,1037.59,1.75682e+06,70,crossover
3247,1046.19,1.75611e+06,70,crossover
3503,1131.52,1.75601e+06,70,mutation
3504,1131.87,1.75525e+06,70,mutation
3873,1243.84,1.75459e+06,70,crossover
3887,1247.83,1.75263e+06,70,mutation
4139,1327.36,1.75134e+06,70,crossover
4257,1365.14,1.75091e+06,70,mutation
4285,1374.27,1.74826e+06,70,mutation
5120,1641.09,1.74794e+06,70,mutation
5331,1703.33,1.7471e+06,70,mutation
5392,1724.34,1.74684e+06,70,crossover
5695,1823.03,1.74682e+06,70,crossover
5821,1863.11,1.74681e+06,70,crossover
5938,1897.73,1.74571e+06,70,crossover
6032,1926.45,1.74505e+06,70,crossover
6442,2055.75,1.74491e+06,70,crossover
6595,2099.23,1.74487e+06,70,mutation
7391,2345.66,1.74461e+06,70,mutation
7503,2377.86,1.74391e+06,70,crossover
7813,2474.31,1.74369e+06,70,mutation
7881,2498.09,1.74341e+06,70,crossover
8764,2770.39,1.74294e+06,70,crossover
8861,2801.88,1.74251e+06,70,mutation
9252,2923.01,1.7424e+06,70,crossover
9790,3084.09,1.74196e+06,70,crossover
10037,3162.37,1.74162e+06,70,mutation
10073,3173.3,1.74132e+06,70,mutation
10363,3263.39,1.7406e+06,70,mutation
10933,3437.62,1.74059e+06,70,mutation
10960,3444.59,1.73967e+06,70,crossover
11446,3589.69,1.73936e+06,70,crossover
11526,3614.34,1.73857e+06,70,crossover
11702,3670.16,1.73853e+06,70,mutation
11830,3707.94,1.73853e+06,70,mutation
11924,3736.42,1.73832e+06,70,crossover
11980,3750.25,1.73828e+06,70,crossover
12097,3782.41,1.7381e+06,70,mutation
12125,3790.78,1.73714e+06,70,mutation
12229,3822.91,1.73615e+06,70,mutation
12268,3835.25,1.73543e+06,70,mutation
12983,4042.67,1.7351e+06,70,mutation
13026,4053.78,1.73469e+06,70,mutation
13457,4185.37,1.73454e+06,70,crossover
13491,4194.58,1.7345e+06,70,mutation
13759,4276.48,1.73442e+06,70,mutation
14026,4356.19,1.73387e+06,70,mutation
14825,4584.61,1.73385e+06,70,crossover
14841,4590.03,1.7338e+06,70,mutation
14916,4614.24,1.73359e+06,70,mutation
15030,4650.16,1.73359e+06,70,crossover
15174,4696.72,1.73286e+06,70,crossover
16021,4945,1.73239e+06,70,mutation
16124,4979.42,1.73225e+06,70,mutation
16398,5062.81,1.73218e+06,70,crossover
16683,5147.87,1.73104e+06,70,crossover
16982,5236.08,1.73086e+06,70,mutation
17722,5462.11,1.73052e+06,70,crossover
17754,5472.45,1.73028e+06,70,crossover
17811,5489.02,1.73016e+06,70,crossover
18134,5583.18,1.73014e+06,70,crossover
18336,5643.78,1.7301e+06,70,crossover
18968,5827.48,1.72987e+06,70,crossover
19169,5886.16,1.72975e+06,70,crossover
19307,5928.15,1.72964e+06,70,crossover
19394,5955.11,1.72956e+06,70,mutation
19829,6082.89,1.72934e+06,70,mutation
19878,6099.8,1.72927e+06,70,mutation
19993,6134.16,1.72915e+06,70,mutation
20417,6263.27,1.7287e+06,70,mutation
21350,6537.19,1.72866e+06,70,crossover
21737,6650.85,1.72764e+06,70,crossover
22039,6737.72,1.72754e+06,70,mutation
24004,7321.06,1.72754e+06,70,mutation
24661,7523.62,1.72731e+06,70,crossover
25228,7690.5,1.72707e+06,70,crossover
26679,8115.12,1.72699e+06,70,crossover
27199,8269.3,1.72694e+06,70,mutation
