n_iter,elapsed_time,cost,n_routes,mechanism
0,19.956,1.94512e+06,0,initialization
1,20.8,1.93778e+06,70,crossover
10,24.221,1.92274e+06,70,crossover
16,26.319,1.91983e+06,70,crossover
18,27.113,1.90211e+06,70,crossover
44,36.362,1.895e+06,70,crossover
65,44.018,1.89342e+06,70,crossover
107,59.158,1.8869e+06,70,crossover
115,62.314,1.88667e+06,70,crossover
119,63.781,1.85889e+06,70,crossover
211,96.078,1.85833e+06,70,crossover
290,124.299,1.84856e+06,70,crossover
307,131.501,1.82796e+06,70,crossover
478,198.674,1.81818e+06,70,crossover
564,232.52,1.80411e+06,70,crossover
1146,465.036,1.79604e+06,70,crossover
2008,815.456,1.78859e+06,70,crossover
2152,873.648,1.78761e+06,70,crossover
2307,934.209,1.78587e+06,70,crossover
2657,1070.03,1.78249e+06,70,crossover
2785,1121.2,1.78118e+06,70,crossover
2866,1151.74,1.77702e+06,70,crossover
2909,1167.3,1.7766e+06,70,crossover
3312,1321.26,1.77273e+06,70,crossover
3674,1458.32,1.77251e+06,70,crossover
3858,1529.47,1.77118e+06,70,crossover
4077,1615.35,1.77107e+06,70,crossover
4426,1747.42,1.77094e+06,70,crossover
4438,1751.38,1.76872e+06,70,crossover
4707,1847.94,1.76636e+06,70,crossover
4808,1886.75,1.76594e+06,70,crossover
5017,1959.75,1.76588e+06,70,crossover
5105,1991.63,1.76539e+06,70,crossover
5109,1993.27,1.76506e+06,70,crossover
5162,2015.08,1.76418e+06,70,crossover
5226,2039.36,1.7635e+06,70,crossover
5328,2077.61,1.76121e+06,70,crossover
5417,2110.66,1.76043e+06,70,crossover
5516,2147.27,1.75747e+06,70,crossover
5798,2248.59,1.75729e+06,70,crossover
5963,2309.3,1.7571e+06,70,crossover
6316,2440.99,1.75608e+06,70,crossover
6361,2456.52,1.75515e+06,70,crossover
7855,2985.75,1.75484e+06,70,crossover
8391,3173.13,1.75204e+06,70,crossover
9564,3605.24,1.75203e+06,70,crossover
11122,4164.53,1.75184e+06,70,crossover
11331,4244.66,1.75131e+06,70,crossover
11517,4311.11,1.74941e+06,70,crossover
13092,4870.52,1.7492e+06,70,crossover
13602,5053.96,1.74848e+06,70,crossover
14289,5306.28,1.74739e+06,70,crossover
14981,5550.16,1.74626e+06,70,crossover
15081,5587.49,1.74577e+06,70,crossover
15473,5724.9,1.7454e+06,70,crossover
16757,6170.71,1.74511e+06,70,crossover
17650,6474.18,1.74404e+06,70,crossover
18143,6638.79,1.74364e+06,70,crossover
21376,7764.69,1.74189e+06,70,crossover
21824,7921.85,1.74173e+06,70,crossover
21918,7955.86,1.74164e+06,70,crossover
22469,8142.4,1.74139e+06,70,crossover
22477,8145.27,1.74135e+06,70,crossover
22729,8237.54,1.74117e+06,70,crossover
22820,8266.28,1.74061e+06,70,crossover
23195,8391.31,1.74011e+06,70,crossover
23391,8452.81,1.73971e+06,70,crossover
23746,8574.56,1.73932e+06,70,crossover
23811,8597.61,1.73886e+06,70,crossover
24762,8923.25,1.73871e+06,70,crossover
24949,8984.47,1.73854e+06,70,crossover
25916,9328.47,1.73831e+06,70,crossover
27111,9741.28,1.73829e+06,70,crossover
27585,9909.58,1.73817e+06,70,crossover
28540,10243.8,1.738e+06,70,crossover
28636,10276.6,1.73765e+06,70,crossover
30032,10759.2,1.73748e+06,70,crossover
30737,11001.2,1.73727e+06,70,crossover
31510,11263.4,1.73724e+06,70,crossover
31539,11273.3,1.73707e+06,70,crossover
32086,11460,1.73704e+06,70,crossover
32986,11773.6,1.73694e+06,70,crossover
33032,11787.9,1.73611e+06,70,crossover
33734,12022.8,1.73607e+06,70,crossover
33843,12058.8,1.73596e+06,70,crossover
34184,12174.6,1.73594e+06,70,crossover
35304,12562,1.73566e+06,70,crossover
37920,13451,1.73525e+06,70,crossover
42410,14963.6,1.73524e+06,70,crossover
44598,15711,1.73494e+06,70,crossover
49218,17265.4,1.73487e+06,70,crossover
53980,18882.2,1.73486e+06,70,crossover
55588,19429.2,1.73469e+06,70,crossover
55732,19474.9,1.73404e+06,70,crossover
56533,19743.5,1.73398e+06,70,crossover
57368,20018.9,1.73383e+06,70,crossover
61470,21388.6,1.73381e+06,70,crossover
61636,21443.8,1.7338e+06,70,crossover
61965,21553.1,1.73365e+06,70,crossover
