n_iter,elapsed_time,cost,n_routes,mechanism
0,11.595,1.86131e+06,0,initialization
15,16.142,1.86026e+06,70,mutation
22,18.268,1.84874e+06,70,mutation
33,21.657,1.84303e+06,70,mutation
57,28.876,1.83534e+06,70,mutation
87,38.301,1.83434e+06,70,mutation
123,48.469,1.83247e+06,70,mutation
134,51.673,1.82954e+06,70,mutation
150,57.031,1.81441e+06,70,mutation
158,59.956,1.81355e+06,70,mutation
188,68.737,1.81352e+06,70,mutation
215,76.877,1.80488e+06,70,crossover
227,80.453,1.80094e+06,70,mutation
257,92.094,1.80035e+06,70,crossover
335,118.298,1.79664e+06,70,mutation
437,150.69,1.79381e+06,70,mutation
449,154.347,1.79358e+06,70,mutation
458,157.487,1.79136e+06,70,crossover
625,211.344,1.78766e+06,70,mutation
628,212.252,1.78613e+06,70,mutation
661,224.252,1.78518e+06,70,crossover
710,240.11,1.78472e+06,70,mutation
737,248.939,1.78376e+06,70,mutation
768,259.593,1.78342e+06,70,crossover
844,284.455,1.78192e+06,70,mutation
848,285.783,1.78121e+06,70,mutation
878,297.002,1.77863e+06,70,mutation
951,321.771,1.77526e+06,70,mutation
997,335.707,1.77398e+06,70,mutation
1104,367.874,1.77218e+06,70,mutation
1144,379.048,1.77168e+06,70,mutation
1147,380.281,1.77038e+06,70,mutation
1192,395.002,1.77014e+06,70,crossover
1311,431.737,1.76974e+06,70,mutation
1370,451.392,1.76956e+06,70,mutation
1453,478.001,1.76862e+06,70,mutation
1597,522.379,1.7686e+06,70,mutation
1655,540.751,1.76694e+06,70,mutation
1953,640.299,1.7657e+06,70,crossover
2080,681.812,1.76283e+06,70,mutation
2263,744.123,1.7616e+06,70,crossover
2345,769.749,1.76128e+06,70,crossover
2441,799.316,1.76102e+06,70,crossover
2524,826.08,1.76098e+06,70,crossover
2542,832.642,1.76083e+06,70,mutation
2561,840.125,1.7588e+06,70,mutation
2582,846.285,1.75872e+06,70,crossover
2745,899.033,1.75756e+06,70,crossover
2984,978.515,1.75742e+06,70,mutation
3109,1019.85,1.7573e+06,70,crossover
3144,1030.05,1.75704e+06,70,mutation
3471,1139.28,1.75623e+06,70,mutation
3795,1241.25,1.75523e+06,70,crossover
3851,1257.81,1.75463e+06,70,mutation
3924,1280.65,1.75343e+06,70,mutation
4042,1317.48,1.75328e+06,70,crossover
4079,1327.88,1.75326e+06,70,crossover
4677,1507.24,1.75265e+06,70,crossover
4928,1580.92,1.75258e+06,70,mutation
5185,1659.35,1.75188e+06,70,mutation
5279,1687.99,1.75145e+06,70,crossover
5371,1715.28,1.75137e+06,70,crossover
7350,2321.72,1.75078e+06,70,crossover
8771,2760.27,1.75078e+06,70,crossover
10230,3215.41,1.74958e+06,70,mutation
10992,3458.29,1.74944e+06,70,mutation
11766,3701.16,1.7494e+06,70,crossover
11902,3742.86,1.74935e+06,70,crossover
12193,3834.63,1.74906e+06,70,mutation
12276,3859.25,1.74906e+06,70,mutation
12317,3871.64,1.74899e+06,70,crossover
12459,3912.89,1.74879e+06,70,crossover
12691,3984.97,1.74869e+06,70,crossover
13033,4085.86,1.74858e+06,70,mutation
13209,4137.36,1.74844e+06,70,mutation
13772,4309.38,1.7476e+06,70,mutation
13924,4356.08,1.74756e+06,70,mutation
14817,4616.06,1.74751e+06,70,crossover
15108,4698.86,1.74732e+06,70,crossover
15784,4890.39,1.74732e+06,70,mutation
16837,5190.7,1.74705e+06,70,crossover
17007,5239.77,1.74645e+06,70,crossover
18394,5626.94,1.74614e+06,70,crossover
18690,5711.72,1.74598e+06,70,crossover
20207,6137.81,1.74597e+06,70,crossover
20750,6289.66,1.74524e+06,70,mutation
22380,6742.35,1.74511e+06,70,crossover
22692,6831.49,1.74503e+06,70,crossover
23014,6919.58,1.74479e+06,70,crossover
23476,7042.51,1.74457e+06,70,crossover
26617,7927.53,1.74455e+06,70,mutation
