n_iter,elapsed_time,cost,n_routes,mechanism
0,20.459,1.93686e+06,0,initialization
10,24.362,1.93633e+06,70,crossover
13,25.52,1.93066e+06,70,crossover
15,26.266,1.9196e+06,70,crossover
32,31.922,1.90681e+06,70,crossover
61,43.112,1.89235e+06,70,crossover
91,53.721,1.88598e+06,70,crossover
94,54.953,1.87779e+06,70,crossover
169,80.674,1.8635e+06,70,crossover
202,92.769,1.85647e+06,70,crossover
297,126.114,1.85563e+06,70,crossover
326,137.426,1.85258e+06,70,crossover
352,147.127,1.84069e+06,70,crossover
370,155.519,1.8402e+06,70,crossover
376,158.565,1.83299e+06,70,crossover
381,160.827,1.83101e+06,70,crossover
392,164.957,1.81609e+06,70,crossover
439,185.798,1.81288e+06,70,crossover
554,232.205,1.80751e+06,70,crossover
619,258.501,1.80629e+06,70,crossover
630,262.799,1.8035e+06,70,crossover
655,272.219,1.80203e+06,70,crossover
748,312.394,1.79757e+06,70,crossover
922,383.581,1.79532e+06,70,crossover
940,391.143,1.7925e+06,70,crossover
1076,446.22,1.79031e+06,70,crossover
1457,599.268,1.78758e+06,70,crossover
1625,667.045,1.78676e+06,70,crossover
1721,705.083,1.78463e+06,70,crossover
1950,798.873,1.78085e+06,70,crossover
2128,869.454,1.77999e+06,70,crossover
2170,887.376,1.77721e+06,70,crossover
2295,936.975,1.77635e+06,70,crossover
2577,1048.77,1.77499e+06,70,crossover
2903,1174.04,1.77375e+06,70,crossover
2969,1199.88,1.77365e+06,70,crossover
3392,1357.86,1.77e+06,70,crossover
3820,1517.12,1.7688e+06,70,crossover
4228,1661.3,1.76791e+06,70,crossover
4278,1678.41,1.76736e+06,70,crossover
4624,1802.42,1.767e+06,69,crossover
4789,1862.45,1.7657e+06,69,crossover
5484,2112.28,1.76554e+06,70,crossover
5493,2115.42,1.76427e+06,69,crossover
5617,2155.88,1.76288e+06,69,crossover
6749,2549.35,1.76223e+06,69,crossover
6824,2575.16,1.76213e+06,70,crossover
6826,2575.92,1.76048e+06,69,crossover
7899,2955.23,1.75979e+06,70,crossover
8050,3007.59,1.7593e+06,69,crossover
8450,3149.44,1.7583e+06,70,crossover
10553,3899.58,1.75809e+06,70,crossover
10827,3998.83,1.75634e+06,70,crossover
10975,4050.57,1.75616e+06,70,crossover
11350,4190.22,1.75551e+06,69,crossover
11428,4220.45,1.7537e+06,69,crossover
12165,4479.54,1.75338e+06,69,crossover
12200,4491.69,1.75324e+06,69,crossover
12702,4673.13,1.75252e+06,69,crossover
13430,4921.86,1.75186e+06,69,crossover
13475,4935.94,1.7517e+06,70,crossover
13794,5033.41,1.75159e+06,69,crossover
14082,5129.8,1.75142e+06,70,crossover
14773,5359.2,1.75129e+06,69,crossover
14939,5414.55,1.75122e+06,70,crossover
15196,5505.1,1.75063e+06,69,crossover
15411,5580.2,1.74938e+06,69,crossover
16054,5796.5,1.74742e+06,69,crossover
16989,6112.41,1.74679e+06,69,crossover
17045,6132.75,1.74633e+06,69,crossover
17445,6273.6,1.74616e+06,69,crossover
19078,6839.05,1.74586e+06,69,crossover
20274,7259.11,1.74582e+06,70,crossover
20776,7437.82,1.74512e+06,70,crossover
21467,7676.39,1.74404e+06,70,crossover
21982,7858.49,1.74392e+06,70,crossover
23596,8430.19,1.74278e+06,70,crossover
25006,8926.61,1.74275e+06,70,crossover
25322,9036.39,1.74264e+06,69,crossover
25817,9209.5,1.74254e+06,70,crossover
25998,9272.25,1.74182e+06,70,crossover
26490,9444,1.74107e+06,69,crossover
27394,9763.63,1.74085e+06,69,crossover
27854,9921.56,1.74071e+06,69,crossover
27984,9965.47,1.74026e+06,69,crossover
29026,10316.2,1.73951e+06,69,crossover
31075,11000.3,1.73846e+06,69,crossover
31571,11170.1,1.73844e+06,69,crossover
33273,11757.5,1.73841e+06,69,crossover
33319,11773.5,1.73782e+06,69,crossover
33977,12003.6,1.73777e+06,69,crossover
33984,12005.6,1.73768e+06,69,crossover
34189,12069.8,1.73743e+06,69,crossover
35849,12607.8,1.73688e+06,69,crossover
36058,12674.8,1.73658e+06,69,crossover
36656,12870.9,1.73654e+06,69,crossover
38885,13608.6,1.73605e+06,69,crossover
39288,13744.7,1.73584e+06,69,crossover
39593,13842.3,1.73546e+06,69,crossover
40610,14168.2,1.73501e+06,69,crossover
41360,14414.7,1.73499e+06,69,crossover
42497,14776.1,1.73468e+06,69,crossover
43668,15155,1.73464e+06,69,crossover
44088,15287.3,1.73434e+06,69,crossover
44925,15559.2,1.7341e+06,69,crossover
46199,15973.7,1.73384e+06,69,crossover
46454,16054.8,1.73325e+06,69,crossover
48336,16655.9,1.7332e+06,69,crossover
48562,16724.9,1.73282e+06,69,crossover
49965,17160.2,1.73275e+06,69,crossover
52038,17835.6,1.73236e+06,69,crossover
52274,17913.3,1.73184e+06,69,crossover
54593,18680.1,1.73163e+06,69,crossover
54974,18809.8,1.73161e+06,69,crossover
59586,20329.2,1.73111e+06,69,crossover
