n_iter,elapsed_time,cost,n_routes,mechanism
0,20.582,1.94355e+06,0,initialization
0,20.753,1.94086e+06,70,crossover
3,21.877,1.9276e+06,70,crossover
10,24.563,1.9066e+06,70,crossover
32,32.236,1.89126e+06,70,crossover
59,42.065,1.88934e+06,70,crossover
108,60.001,1.87934e+06,70,crossover
112,61.737,1.86888e+06,70,crossover
154,77.362,1.86867e+06,70,crossover
229,105.596,1.86834e+06,70,crossover
238,109.049,1.86123e+06,70,crossover
245,111.69,1.85354e+06,70,crossover
284,125.548,1.85201e+06,70,crossover
324,141.016,1.84529e+06,70,crossover
346,149.455,1.84072e+06,70,crossover
377,161.239,1.83787e+06,70,crossover
393,168.143,1.82936e+06,70,crossover
517,219.798,1.82099e+06,70,crossover
627,267.673,1.82012e+06,70,crossover
679,290.832,1.8184e+06,70,crossover
713,303.017,1.81402e+06,70,crossover
760,323.501,1.80124e+06,70,crossover
818,346.08,1.8001e+06,70,crossover
825,349.219,1.79463e+06,70,crossover
1088,453.988,1.79434e+06,70,crossover
1092,455.737,1.78979e+06,70,crossover
1133,470.423,1.78738e+06,70,crossover
1385,568.628,1.78676e+06,70,crossover
1395,573.098,1.77593e+06,70,crossover
1682,684.126,1.77492e+06,70,crossover
1694,690.034,1.77382e+06,70,crossover
1811,737.848,1.77065e+06,70,crossover
1901,774.019,1.77048e+06,70,crossover
2018,820.987,1.77002e+06,70,crossover
2094,849.331,1.76721e+06,70,crossover
2605,1048.22,1.76668e+06,70,crossover
2806,1124.58,1.76563e+06,70,crossover
3544,1411.88,1.7656e+06,70,crossover
3718,1475.79,1.7646e+06,70,crossover
3847,1526.52,1.76414e+06,70,crossover
3938,1558.81,1.76408e+06,70,crossover
4027,1593.25,1.7604e+06,70,crossover
4744,1861,1.75995e+06,70,crossover
4897,1914.85,1.75981e+06,70,crossover
4989,1951.05,1.75948e+06,70,crossover
5242,2041.49,1.75947e+06,70,crossover
5287,2057.3,1.75945e+06,70,crossover
5345,2079.68,1.75943e+06,70,crossover
5443,2115.94,1.75934e+06,70,crossover
5812,2245.91,1.75932e+06,70,crossover
5826,2251.38,1.75858e+06,70,crossover
6209,2398.31,1.75855e+06,70,crossover
6307,2434.34,1.75736e+06,70,crossover
6341,2447.33,1.75628e+06,70,crossover
7399,2843.45,1.75563e+06,70,crossover
7817,2993.59,1.75526e+06,70,crossover
8725,3323.92,1.75461e+06,70,crossover
8928,3400.48,1.75425e+06,70,crossover
9442,3594.61,1.75307e+06,70,crossover
9827,3737.01,1.75275e+06,70,crossover
9901,3763.5,1.7522e+06,70,crossover
10092,3831.56,1.75216e+06,70,crossover
10351,3931.88,1.75206e+06,70,crossover
10466,3973.61,1.75154e+06,70,crossover
10745,4076.66,1.75045e+06,70,crossover
11285,4271.52,1.74997e+06,70,crossover
11510,4352.16,1.74987e+06,70,crossover
12233,4621.41,1.74902e+06,70,crossover
13234,4986.92,1.74708e+06,70,crossover
13454,5064.42,1.74705e+06,70,crossover
13575,5107.64,1.74618e+06,70,crossover
14010,5261.88,1.74618e+06,70,crossover
14085,5287.14,1.74612e+06,70,crossover
14417,5399.19,1.74611e+06,70,crossover
14667,5483.05,1.74553e+06,70,crossover
14807,5535.55,1.7444e+06,70,crossover
16254,6041.23,1.74417e+06,70,crossover
18010,6644.64,1.74407e+06,70,crossover
19324,7086.47,1.74379e+06,70,crossover
20874,7629.23,1.74369e+06,70,crossover
21359,7799.22,1.74361e+06,70,crossover
21493,7847.06,1.74342e+06,70,crossover
21743,7935.05,1.74327e+06,70,crossover
23554,8576.75,1.7432e+06,70,crossover
23909,8702.13,1.74302e+06,70,crossover
25147,9130.89,1.74291e+06,70,crossover
25727,9332.62,1.74264e+06,70,crossover
25863,9375.13,1.74197e+06,70,crossover
27722,10027.3,1.74158e+06,70,crossover
28295,10228,1.74129e+06,70,crossover
29487,10639.4,1.74122e+06,70,crossover
32352,11642.9,1.74118e+06,70,crossover
32520,11698.9,1.74117e+06,70,crossover
32908,11833.2,1.74098e+06,70,crossover
33566,12058.4,1.74081e+06,70,crossover
34138,12257.9,1.74056e+06,70,crossover
34872,12515.5,1.74023e+06,70,crossover
35406,12705.9,1.7401e+06,70,crossover
37609,13467.2,1.73988e+06,70,crossover
37670,13488.6,1.7394e+06,70,crossover
39355,14077.8,1.73854e+06,70,crossover
40317,14401.5,1.73794e+06,70,crossover
40437,14442.4,1.73782e+06,70,crossover
41076,14652.9,1.7375e+06,70,crossover
41147,14676.5,1.73729e+06,70,crossover
41391,14759.3,1.73728e+06,70,crossover
41552,14811.4,1.73616e+06,70,crossover
41854,14916.3,1.73614e+06,70,crossover
43024,15308.8,1.73609e+06,70,crossover
43498,15475.4,1.73542e+06,70,crossover
44232,15724.4,1.73484e+06,70,crossover
48232,17061.5,1.73482e+06,70,crossover
48379,17105.6,1.73459e+06,70,crossover
49418,17458.9,1.73453e+06,70,crossover
49528,17493.7,1.73444e+06,70,crossover
49567,17505.6,1.73436e+06,70,crossover
51655,18210.9,1.73436e+06,70,crossover
52304,18423.1,1.73431e+06,70,crossover
52992,18654,1.73428e+06,70,crossover
54127,19041.9,1.7342e+06,70,crossover
56458,19830.8,1.73413e+06,70,crossover
56743,19930.7,1.73392e+06,70,crossover
56760,19936.4,1.73383e+06,70,crossover
