n_iter,elapsed_time,cost,n_routes,mechanism
0,12.221,1.86205e+06,0,initialization
9,14.842,1.86111e+06,70,mutation
14,15.967,1.85877e+06,70,crossover
17,16.834,1.85488e+06,70,crossover
21,17.836,1.85392e+06,70,mutation
26,19.412,1.85269e+06,70,mutation
68,32.296,1.85178e+06,70,mutation
100,41.9,1.8451e+06,70,mutation
111,44.96,1.83196e+06,70,mutation
151,55.085,1.82459e+06,70,crossover
190,67.776,1.81548e+06,70,mutation
216,75.721,1.81243e+06,70,mutation
240,84.315,1.81164e+06,70,mutation
262,91.251,1.80909e+06,70,mutation
282,97.864,1.80728e+06,70,mutation
294,101.564,1.80654e+06,70,crossover
295,101.973,1.80537e+06,70,mutation
296,102.345,1.79971e+06,70,mutation
306,105.924,1.79611e+06,70,mutation
346,119.832,1.79467e+06,70,mutation
372,129.29,1.79396e+06,70,mutation
373,129.518,1.79388e+06,70,mutation
391,137.285,1.78609e+06,70,mutation
448,157.908,1.78167e+06,70,mutation
627,216.753,1.78143e+06,70,mutation
695,237.955,1.78101e+06,70,mutation
785,269.846,1.77823e+06,70,mutation
881,299.816,1.77638e+06,70,mutation
929,317.706,1.77612e+06,70,mutation
1055,358.159,1.77487e+06,70,mutation
1090,370.519,1.77376e+06,70,crossover
1227,412.82,1.7726e+06,70,crossover
1324,446.307,1.7722e+06,70,crossover
1438,485.072,1.76952e+06,70,mutation
1789,594.477,1.76819e+06,70,mutation
1897,628.542,1.7672e+06,70,mutation
1918,635.934,1.76679e+06,70,mutation
1932,640.632,1.76533e+06,70,crossover
2083,686.354,1.7649e+06,70,mutation
2125,701.123,1.76454e+06,70,crossover
2131,703.431,1.76452e+06,70,crossover
2304,755.808,1.76279e+06,70,crossover
2508,818.664,1.76049e+06,70,mutation
2616,852.372,1.76037e+06,70,mutation
2700,879.087,1.76005e+06,70,mutation
2733,888.666,1.75886e+06,70,crossover
2797,909.01,1.75729e+06,70,crossover
3462,1109.46,1.75694e+06,70,crossover
4217,1338.95,1.75671e+06,70,mutation
4320,1369.89,1.75575e+06,70,mutation
4507,1428.51,1.75389e+06,70,crossover
4947,1567.12,1.7532e+06,70,crossover
5076,1608.87,1.75289e+06,70,crossover
5084,1612.15,1.75172e+06,70,crossover
5411,1719.06,1.75139e+06,70,mutation
5425,1724.02,1.75125e+06,70,crossover
6145,1950.93,1.75003e+06,70,crossover
6214,1974.12,1.74932e+06,70,mutation
6300,2000.34,1.74876e+06,70,crossover
6760,2152.35,1.74855e+06,70,crossover
6786,2161.22,1.7472e+06,70,mutation
6877,2191.7,1.74602e+06,70,mutation
7267,2317.89,1.74538e+06,70,mutation
7325,2335.99,1.74513e+06,70,crossover
7666,2448.4,1.74483e+06,70,crossover
8078,2580.48,1.74431e+06,70,crossover
8212,2624.01,1.74393e+06,70,crossover
9263,2952.08,1.74372e+06,70,crossover
9276,2956.34,1.74326e+06,70,crossover
9959,3169.04,1.74278e+06,70,mutation
9975,3174.15,1.74263e+06,70,crossover
10216,3248.57,1.74239e+06,70,mutation
10411,3308.36,1.74196e+06,70,mutation
10444,3317.79,1.74133e+06,70,crossover
10503,3336.14,1.74123e+06,70,crossover
10643,3381.31,1.74075e+06,70,crossover
11848,3745.71,1.74033e+06,70,mutation
12134,3826.65,1.74017e+06,70,crossover
12539,3946.21,1.7395e+06,70,mutation
12583,3960.07,1.73923e+06,70,mutation
12952,4068.57,1.73903e+06,70,crossover
13465,4218.7,1.73835e+06,70,crossover
13519,4236.52,1.73737e+06,70,crossover
16268,5057.45,1.73733e+06,70,mutation
17787,5510.45,1.73662e+06,70,crossover
19655,6079.1,1.73586e+06,70,mutation
20287,6278.15,1.73541e+06,70,mutation
20911,6469.99,1.73527e+06,70,crossover
22390,6929.35,1.73454e+06,70,crossover
25250,7815.46,1.7343e+06,70,crossover
25356,7846.32,1.73418e+06,70,crossover
25510,7897.48,1.73407e+06,70,crossover
26767,8276.42,1.73402e+06,70,mutation
28095,8686.67,1.73399e+06,70,crossover
28500,8812.2,1.73394e+06,70,crossover
28956,8949.32,1.73383e+06,70,mutation
28992,8962.07,1.73322e+06,70,mutation
30921,9586.99,1.73314e+06,70,mutation
31238,9688.87,1.73289e+06,70,crossover
32308,10022.4,1.73288e+06,70,crossover
32907,10207.1,1.73279e+06,70,crossover
33583,10421.3,1.73277e+06,70,mutation
34013,10556.6,1.73243e+06,70,mutation
35487,11018.5,1.732e+06,70,crossover
36067,11198.9,1.73178e+06,70,mutation
37137,11521.6,1.73171e+06,70,mutation
37279,11564.1,1.73132e+06,70,crossover
39451,12217.7,1.73131e+06,70,crossover
39460,12220.2,1.73126e+06,70,crossover
39761,12310.9,1.73103e+06,70,crossover
39861,12340.3,1.73099e+06,70,mutation
40748,12607.8,1.73058e+06,70,crossover
49376,15162.4,1.73034e+06,70,crossover
50560,15503.8,1.72977e+06,70,crossover
58585,17886.7,1.72976e+06,70,mutation
59629,18201.7,1.72953e+06,70,crossover
59894,18281.4,1.72942e+06,70,mutation
60309,18406.2,1.72901e+06,70,crossover
60892,18580.3,1.72852e+06,70,mutation
61004,18613.8,1.72836e+06,70,crossover
63470,19364.6,1.72819e+06,70,crossover
63896,19490.5,1.72806e+06,70,crossover
64515,19678.6,1.72798e+06,70,crossover
64660,19721.6,1.72754e+06,70,mutation
67002,20431,1.72742e+06,70,crossover
69294,21117.6,1.72682e+06,70,crossover
