n_iter,elapsed_time,cost,n_routes,mechanism
0,1379.7,3.33022e+06,0,initialization
0,1391.18,3.29164e+06,30,crossover
24,1660.05,3.28096e+06,30,crossover
27,1693.56,3.28011e+06,31,crossover
41,1851.92,3.25184e+06,30,crossover
67,2140.56,3.22012e+06,30,crossover
150,3031.66,3.2153e+06,30,crossover
157,3104.55,3.21226e+06,30,crossover
169,3232.03,3.18167e+06,30,crossover
172,3261.45,3.17811e+06,30,crossover
268,4282.22,3.1755e+06,30,crossover
468,6442.25,3.16583e+06,30,crossover
512,6934.17,3.15762e+06,29,crossover
724,9316.6,3.15016e+06,30,crossover
813,10404,3.14956e+06,30,crossover
829,10602.1,3.14281e+06,29,crossover
843,10840.4,3.12844e+06,29,crossover
853,11034.7,3.09824e+06,29,crossover
856,11091.9,3.09164e+06,29,crossover
1061,14778.7,3.07912e+06,29,crossover
1141,16266.2,3.07766e+06,29,crossover
1360,19917.9,3.07493e+06,29,crossover
