n_iter,elapsed_time,cost,n_routes,mechanism
0,1556.5,3.30939e+06,0,initialization
6,1647.94,3.30254e+06,31,crossover
24,1878.61,3.302e+06,31,crossover
28,1928.58,3.2628e+06,30,crossover
43,2122.38,3.2497e+06,30,crossover
48,2183.91,3.23388e+06,31,crossover
70,2464.36,3.23046e+06,30,crossover
77,2550.1,3.23012e+06,31,crossover
168,3583.38,3.22902e+06,32,crossover
178,3700.94,3.22829e+06,30,crossover
185,3772.88,3.22468e+06,30,crossover
220,4163.75,3.22022e+06,31,crossover
268,4713.36,3.20937e+06,30,crossover
336,5475.6,3.20142e+06,30,crossover
441,6635.33,3.20076e+06,30,crossover
442,6643.86,3.1971e+06,30,crossover
469,6938.72,3.19677e+06,30,crossover
470,6949.39,3.18783e+06,30,crossover
521,7535.38,3.18407e+06,30,crossover
591,8333.17,3.18375e+06,30,crossover
635,8815.24,3.18358e+06,30,crossover
674,9253.5,3.18079e+06,30,crossover
680,9331.5,3.15542e+06,30,crossover
753,10234.8,3.13316e+06,29,crossover
757,10287.6,3.12118e+06,29,crossover
898,12591.9,3.09846e+06,29,crossover
919,12933.4,3.08351e+06,29,crossover
1023,14819.1,3.0803e+06,29,crossover
1260,19009.9,3.06363e+06,29,crossover
