n_iter,elapsed_time,cost,n_routes,mechanism
0,955.814,2.46863e+06,0,initialization
24,1323.62,2.46723e+06,67,crossover
51,1743.14,2.46476e+06,68,mutation
98,2448.86,2.46426e+06,68,mutation
126,2865.66,2.46286e+06,69,mutation
133,2969.23,2.45964e+06,68,mutation
147,3178.8,2.457e+06,67,crossover
151,3238.06,2.45301e+06,67,crossover
177,3656.16,2.45096e+06,67,mutation
180,3705.25,2.44798e+06,67,mutation
262,4929.94,2.44769e+06,67,mutation
336,6041.67,2.44028e+06,67,mutation
521,8949.08,2.43926e+06,67,mutation
547,9347.94,2.43388e+06,67,crossover
603,10230.4,2.43079e+06,67,mutation
605,10258.6,2.43023e+06,67,mutation
624,10554.9,2.42881e+06,67,mutation
642,10841.4,2.42792e+06,67,mutation
665,11192,2.422e+06,67,crossover
757,12640.1,2.42095e+06,67,mutation
800,13451.9,2.41406e+06,66,mutation
811,13626.5,2.41388e+06,66,mutation
812,13640.6,2.41308e+06,66,mutation
818,13769.1,2.41075e+06,66,mutation
819,13783.3,2.4104e+06,66,mutation
824,13886.8,2.40767e+06,66,mutation
852,14557.3,2.40448e+06,66,mutation
860,14813.1,2.40421e+06,66,mutation
873,15131,2.4026e+06,66,mutation
875,15174,2.40143e+06,66,mutation
881,15302.2,2.39958e+06,67,mutation
902,15786.6,2.39874e+06,67,mutation
926,16309,2.39752e+06,66,mutation
948,16829.6,2.3945e+06,66,mutation
961,17131.6,2.39316e+06,66,mutation
1040,19235.3,2.39247e+06,66,crossover
1044,19322,2.39183e+06,65,mutation
1054,19603.9,2.38921e+06,65,mutation
1072,20045.5,2.38782e+06,66,crossover
1124,21404.8,2.38719e+06,67,mutation
1129,21503.8,2.38646e+06,67,mutation
