n_iter,elapsed_time,cost,n_routes,mechanism
0,2313.92,2.52331e+06,0,initialization
6,2448.84,2.50449e+06,69,crossover
22,2734.41,2.49314e+06,69,crossover
45,3161.59,2.48381e+06,68,crossover
80,3786.19,2.4786e+06,68,crossover
91,3982.95,2.46375e+06,68,crossover
147,4938.02,2.46154e+06,69,crossover
167,5281.98,2.46114e+06,69,crossover
168,5300.09,2.44927e+06,68,crossover
186,5607.03,2.4484e+06,68,crossover
252,6745.38,2.4459e+06,67,crossover
291,7424.14,2.44251e+06,68,crossover
310,7750.2,2.43478e+06,68,crossover
334,8165.48,2.43473e+06,69,crossover
394,9236.39,2.42505e+06,68,crossover
422,9777.03,2.41452e+06,68,crossover
442,10148.8,2.41303e+06,68,crossover
826,17306,2.40515e+06,67,crossover
909,19379.4,2.39229e+06,66,crossover
