n_iter,elapsed_time,cost,n_routes,mechanism
0,913.033,2.47929e+06,0,initialization
15,1152.06,2.47298e+06,69,mutation
16,1165.62,2.46914e+06,68,mutation
93,2328.69,2.46378e+06,67,crossover
105,2524.57,2.4618e+06,67,mutation
120,2744.02,2.45366e+06,67,crossover
134,2952.72,2.44982e+06,67,mutation
183,3685.62,2.44874e+06,67,mutation
204,3992.7,2.44576e+06,67,mutation
343,6237.87,2.44272e+06,69,mutation
345,6266.67,2.43248e+06,66,mutation
434,7839.77,2.43187e+06,66,mutation
545,9660.92,2.43183e+06,66,mutation
611,10768.4,2.43169e+06,66,mutation
617,10874.2,2.43102e+06,66,crossover
637,11197,2.43034e+06,66,mutation
651,11417.4,2.42851e+06,66,crossover
656,11491.8,2.42839e+06,66,mutation
663,11612,2.42678e+06,66,mutation
673,11763,2.42673e+06,66,mutation
676,11810.9,2.42325e+06,66,crossover
685,11965.7,2.42308e+06,66,mutation
701,12285.7,2.42271e+06,66,mutation
715,12508.1,2.42219e+06,66,mutation
731,12776.9,2.41869e+06,67,mutation
751,13101.5,2.41621e+06,67,mutation
767,13386,2.4162e+06,68,crossover
794,13852.9,2.41594e+06,67,crossover
802,13986.2,2.41485e+06,68,mutation
811,14178.1,2.41007e+06,67,mutation
825,14447.9,2.40747e+06,67,mutation
827,14492.7,2.40587e+06,67,crossover
870,15554.4,2.40076e+06,66,crossover
889,16024.7,2.39927e+06,66,mutation
907,16435.2,2.39564e+06,66,crossover
951,17378.5,2.39351e+06,66,mutation
962,17615.6,2.39133e+06,66,mutation
975,17941.7,2.39013e+06,66,mutation
1010,18724,2.39001e+06,66,mutation
1045,19424.8,2.38831e+06,66,crossover
1051,19569.3,2.3871e+06,66,crossover
1072,20030.7,2.38702e+06,66,crossover
1080,20179.7,2.38671e+06,66,mutation
1124,21221.3,2.3862e+06,66,mutation
1129,21321.2,2.38598e+06,66,mutation
1131,21351.8,2.38373e+06,66,mutation
