n_iter,elapsed_time,cost,n_routes,mechanism
0,2165.47,2.55034e+06,0,initialization
0,2188.88,2.54957e+06,71,crossover
4,2277.27,2.54841e+06,70,crossover
5,2296.32,2.5258e+06,70,crossover
11,2426.74,2.52046e+06,68,crossover
17,2556.83,2.50995e+06,69,crossover
28,2790.67,2.50953e+06,69,crossover
31,2853.83,2.5044e+06,69,crossover
35,2936.39,2.48821e+06,69,crossover
62,3538.3,2.48187e+06,70,crossover
116,4492.27,2.47344e+06,68,crossover
118,4525.39,2.47148e+06,69,crossover
152,5121.19,2.46352e+06,68,crossover
269,7133.71,2.45538e+06,69,crossover
461,10513.2,2.45125e+06,68,crossover
482,10888.1,2.44814e+06,69,crossover
494,11107.6,2.44561e+06,68,crossover
500,11209.3,2.44488e+06,67,crossover
594,12933.1,2.44007e+06,68,crossover
595,12967.7,2.43538e+06,68,crossover
701,14902,2.43259e+06,67,crossover
808,17035,2.43e+06,67,crossover
811,17113.3,2.42415e+06,67,crossover
840,17787.7,2.42308e+06,67,crossover
860,18248.7,2.42111e+06,67,crossover
872,18568.8,2.41741e+06,65,crossover
914,19595.2,2.41561e+06,67,crossover
927,20053.8,2.40236e+06,68,crossover
