n_iter,elapsed_time,cost,n_routes,mechanism
0,842.764,2.48984e+06,0,initialization
9,1007.95,2.47461e+06,69,mutation
22,1228.63,2.47194e+06,68,mutation
37,1482.09,2.46824e+06,68,mutation
43,1581.08,2.46816e+06,68,crossover
47,1647.56,2.45784e+06,68,mutation
68,1991.92,2.45539e+06,68,mutation
76,2128.84,2.4533e+06,69,mutation
77,2144.39,2.4523e+06,68,mutation
81,2211.36,2.45205e+06,68,mutation
108,2683.64,2.45157e+06,68,crossover
116,2821.69,2.45018e+06,68,mutation
118,2855.12,2.44927e+06,68,mutation
126,2992.75,2.44862e+06,69,mutation
146,3341.89,2.44822e+06,69,crossover
150,3409.08,2.44792e+06,68,mutation
156,3512.97,2.44375e+06,67,mutation
167,3702.05,2.44277e+06,68,mutation
171,3773.05,2.44257e+06,68,mutation
192,4155.83,2.43901e+06,67,mutation
234,4903.15,2.43313e+06,67,crossover
246,5111.37,2.43282e+06,67,crossover
268,5495.33,2.43272e+06,68,crossover
278,5669.86,2.42677e+06,67,mutation
296,6006.31,2.42528e+06,67,mutation
325,6440.95,2.42383e+06,67,mutation
373,7190.94,2.42352e+06,67,mutation
458,8550.3,2.42177e+06,67,crossover
504,9368.53,2.42045e+06,67,mutation
514,9529.11,2.42016e+06,67,mutation
544,10083.4,2.41976e+06,67,mutation
593,11009.5,2.41896e+06,67,mutation
598,11106.8,2.41803e+06,67,mutation
611,11375,2.4159e+06,67,mutation
624,11593.2,2.41255e+06,68,mutation
642,11895.1,2.41235e+06,67,mutation
648,12036.7,2.41226e+06,67,mutation
730,13604.3,2.41147e+06,67,mutation
758,14100.5,2.41058e+06,66,crossover
759,14114.4,2.41017e+06,67,mutation
761,14142.9,2.40726e+06,67,mutation
763,14171.9,2.40639e+06,66,mutation
849,16069,2.40623e+06,66,mutation
856,16246.5,2.40203e+06,66,mutation
869,16537.5,2.4012e+06,66,mutation
912,17607.3,2.4011e+06,66,crossover
930,18126,2.4008e+06,66,mutation
1055,20917.3,2.40032e+06,66,mutation
