n_iter,elapsed_time,cost,n_routes,mechanism
0,162.423,1.36331e+06,0,initialization
8,195.594,1.3586e+06,19,mutation
9,198.708,1.35809e+06,19,mutation
13,212.625,1.35478e+06,18,mutation
16,222.218,1.353e+06,18,mutation
21,242.342,1.34868e+06,18,mutation
22,245.749,1.34634e+06,18,mutation
36,295.624,1.34555e+06,18,mutation
37,298.56,1.3448e+06,18,mutation
39,305.238,1.34442e+06,18,mutation
40,308.968,1.33967e+06,18,crossover
56,367.67,1.33706e+06,18,mutation
76,434.532,1.33698e+06,18,mutation
83,456.924,1.3369e+06,18,mutation
85,463.393,1.33676e+06,18,mutation
86,466.298,1.33641e+06,18,mutation
99,509.392,1.3362e+06,18,mutation
100,512.595,1.33514e+06,18,mutation
112,554.346,1.33378e+06,18,mutation
117,569.156,1.33296e+06,18,mutation
123,588.783,1.33269e+06,18,mutation
125,595.048,1.33258e+06,18,mutation
127,601.252,1.33111e+06,18,mutation
144,657.565,1.33036e+06,18,mutation
177,765.61,1.33012e+06,18,mutation
193,818.329,1.32897e+06,18,mutation
204,852.783,1.3273e+06,18,mutation
205,855.75,1.32722e+06,18,mutation
253,1009.6,1.32672e+06,18,crossover
255,1015.44,1.32617e+06,18,mutation
256,1018.33,1.32601e+06,18,mutation
261,1035.11,1.32597e+06,18,mutation
270,1064.14,1.32485e+06,18,mutation
278,1089.72,1.32482e+06,18,mutation
290,1128.67,1.32386e+06,18,mutation
306,1180.89,1.32362e+06,18,mutation
321,1228.47,1.32325e+06,18,mutation
331,1261.2,1.32321e+06,19,crossover
335,1273.5,1.32291e+06,18,mutation
382,1426.2,1.32256e+06,18,mutation
384,1432.74,1.31858e+06,18,crossover
426,1569.33,1.31853e+06,18,mutation
449,1641.33,1.31849e+06,18,mutation
509,1846.66,1.31845e+06,18,crossover
536,1934.38,1.31817e+06,18,mutation
563,2023.97,1.31808e+06,18,crossover
627,2242.25,1.31793e+06,18,mutation
726,2579.08,1.31741e+06,18,mutation
730,2591.67,1.31728e+06,18,mutation
746,2657.49,1.31709e+06,18,mutation
781,2795.99,1.31688e+06,18,mutation
802,2867.33,1.31678e+06,18,mutation
819,2922.92,1.31674e+06,18,mutation
880,3159.91,1.31664e+06,18,mutation
891,3197.9,1.31589e+06,18,crossover
905,3264.91,1.31548e+06,18,mutation
913,3290.83,1.31546e+06,18,mutation
938,3386.89,1.31526e+06,18,mutation
971,3511.1,1.31499e+06,18,mutation
992,3592.96,1.31466e+06,18,mutation
1021,3706.32,1.31438e+06,18,mutation
1044,3804.04,1.31434e+06,18,mutation
1046,3810.16,1.31434e+06,18,mutation
1169,4493.34,1.31399e+06,18,mutation
1248,4885.9,1.31394e+06,18,mutation
1288,5102.43,1.31193e+06,18,mutation
1298,5163.13,1.3099e+06,18,mutation
1303,5191.43,1.30979e+06,18,mutation
1363,5502.4,1.30963e+06,18,mutation
1407,5744.64,1.30957e+06,18,mutation
1433,5889.43,1.30948e+06,18,mutation
1507,6264.93,1.30893e+06,18,crossover
1536,6414.68,1.30878e+06,18,mutation
1628,6952.46,1.30875e+06,18,mutation
1789,7819.19,1.30866e+06,18,mutation
2184,10072.3,1.30865e+06,18,mutation
2414,11375.2,1.30816e+06,18,crossover
2577,12276,1.30778e+06,18,crossover
2652,12683,1.30778e+06,18,mutation
2707,12998.2,1.30755e+06,18,mutation
2731,13135.2,1.30736e+06,18,mutation
2768,13317.7,1.30733e+06,18,mutation
2840,13721.9,1.30717e+06,18,crossover
2849,13774.4,1.30654e+06,18,mutation
2886,13962.8,1.30643e+06,18,mutation
2923,14143.8,1.30634e+06,18,mutation
2936,14210.7,1.30623e+06,18,mutation
2938,14218.4,1.30539e+06,18,mutation
2973,14402.6,1.30514e+06,18,crossover
2977,14420.5,1.30441e+06,18,mutation
2989,14472.5,1.30432e+06,18,mutation
3000,14529.6,1.30427e+06,18,mutation
3046,14737.4,1.30383e+06,18,mutation
3059,14798.5,1.30352e+06,18,mutation
3262,15857.2,1.30267e+06,18,crossover
3310,16115.5,1.30215e+06,18,mutation
3364,16426.2,1.30215e+06,18,mutation
3371,16454.7,1.30208e+06,18,mutation
3484,17051.3,1.30194e+06,18,mutation
3490,17089.7,1.30175e+06,18,mutation
3495,17116.6,1.3017e+06,18,mutation
3504,17162,1.30169e+06,18,mutation
3647,17961.4,1.30168e+06,18,mutation
3671,18086.4,1.30165e+06,18,mutation
3843,19117,1.30149e+06,18,mutation
3869,19232.1,1.30143e+06,18,mutation
4003,20018.3,1.30141e+06,18,mutation
4156,20874.8,1.30107e+06,18,mutation
4201,21107.2,1.30044e+06,18,crossover
4259,21420.1,1.29991e+06,18,crossover
