n_iter,elapsed_time,cost,n_routes,mechanism
0,698.315,1.38726e+06,0,initialization
0,702.485,1.38336e+06,18,crossover
34,847.032,1.37795e+06,19,crossover
47,901.578,1.37448e+06,19,crossover
71,999.188,1.37328e+06,19,crossover
72,1002.7,1.36452e+06,19,crossover
171,1412.08,1.36324e+06,19,crossover
190,1485.55,1.36292e+06,19,crossover
192,1491.85,1.36032e+06,18,crossover
246,1704.06,1.35978e+06,19,crossover
250,1719.44,1.35936e+06,19,crossover
251,1723.47,1.35186e+06,19,crossover
368,2182.85,1.3504e+06,19,crossover
400,2313.62,1.34451e+06,19,crossover
437,2465.36,1.34239e+06,19,crossover
516,2773.47,1.33896e+06,19,crossover
540,2862.39,1.33524e+06,18,crossover
632,3226.45,1.33494e+06,19,crossover
676,3394.63,1.3345e+06,19,crossover
699,3481.41,1.3309e+06,19,crossover
815,3933.42,1.3276e+06,19,crossover
924,4381.02,1.32257e+06,19,crossover
1057,5122.37,1.31602e+06,18,crossover
1103,5395.5,1.31124e+06,18,crossover
1606,8239.24,1.31094e+06,18,crossover
1757,9143.55,1.30938e+06,18,crossover
1790,9314.97,1.30924e+06,19,crossover
2063,10844.4,1.30572e+06,18,crossover
2259,11953.2,1.30468e+06,18,crossover
2396,12739.2,1.30417e+06,18,crossover
2461,13103,1.30409e+06,18,crossover
2485,13215.3,1.30298e+06,18,crossover
2495,13272.7,1.3011e+06,18,crossover
2688,14350.9,1.30053e+06,18,crossover
2736,14635.2,1.29983e+06,18,crossover
2741,14666.9,1.29748e+06,18,crossover
2997,15979.8,1.29499e+06,18,crossover
3153,16777.4,1.29294e+06,18,crossover
3537,18803.9,1.29289e+06,18,crossover
3725,19777.6,1.29222e+06,18,crossover
4044,21525,1.29211e+06,18,crossover
