n_iter,elapsed_time,cost,n_routes,mechanism
0,107.096,2.76255e+06,0,initialization
26,144.688,2.74542e+06,37,crossover
36,158.847,2.74188e+06,37,crossover
58,189.312,2.73005e+06,37,crossover
69,203.94,2.7271e+06,37,crossover
84,223.515,2.71718e+06,37,crossover
97,238.831,2.68847e+06,37,crossover
159,321.424,2.67465e+06,37,crossover
357,578.157,2.65926e+06,37,crossover
489,748.237,2.6573e+06,37,crossover
526,798.377,2.65547e+06,37,crossover
555,845.173,2.65328e+06,36,crossover
569,867.517,2.65205e+06,36,crossover
574,878.127,2.62381e+06,36,crossover
766,1212.42,2.61322e+06,36,crossover
808,1289.67,2.60339e+06,36,crossover
911,1464.44,2.60173e+06,36,crossover
1036,1687.91,2.59626e+06,36,crossover
1084,1764.48,2.58893e+06,36,crossover
1159,1886.89,2.58773e+06,36,crossover
1346,2219.28,2.58609e+06,36,crossover
1573,2582.03,2.58498e+06,36,crossover
1623,2664.06,2.58485e+06,36,crossover
1750,2875.19,2.58399e+06,36,crossover
1821,2979.5,2.58162e+06,36,crossover
1933,3160.55,2.58135e+06,36,crossover
1949,3189.27,2.57987e+06,36,crossover
2250,3685.55,2.57767e+06,36,crossover
2570,4186.59,2.57764e+06,36,crossover
2782,4521.78,2.57637e+06,36,crossover
2869,4676.17,2.57334e+06,36,crossover
2899,4725.24,2.57074e+06,36,crossover
3169,5176.61,2.57004e+06,36,crossover
3514,5723.55,2.56886e+06,36,crossover
3599,5857.17,2.56823e+06,36,crossover
3720,6053.7,2.56529e+06,36,crossover
4072,6610.89,2.5647e+06,36,crossover
4518,7312.81,2.56395e+06,36,crossover
4843,7829,2.56291e+06,36,crossover
5030,8110.49,2.56168e+06,36,crossover
5374,8627.78,2.55919e+06,36,crossover
5637,9060.22,2.55752e+06,36,crossover
6074,9748.86,2.5555e+06,36,crossover
6395,10229.8,2.55339e+06,36,crossover
6443,10307.5,2.55332e+06,36,crossover
6531,10430.4,2.55249e+06,36,crossover
6899,11010.3,2.55168e+06,36,crossover
7228,11536.5,2.55151e+06,36,crossover
7307,11675.4,2.54938e+06,36,crossover
7689,12324.7,2.54882e+06,36,crossover
8498,13636.6,2.54867e+06,36,crossover
8504,13645.8,2.54846e+06,36,crossover
8817,14124.6,2.54767e+06,36,crossover
8962,14352.2,2.547e+06,36,crossover
9337,14926.2,2.54667e+06,36,crossover
10812,17196.7,2.54609e+06,36,crossover
12128,19236.6,2.54594e+06,36,crossover
13368,21127.1,2.54541e+06,36,crossover
