n_iter,elapsed_time,cost,n_routes,mechanism
0,51.389,2.71612e+06,0,initialization
0,52.247,2.71546e+06,37,crossover
4,56.794,2.71407e+06,37,crossover
9,62.685,2.7011e+06,37,mutation
22,77.434,2.69951e+06,37,mutation
37,94.887,2.69364e+06,37,mutation
40,99.202,2.68654e+06,37,crossover
62,125.637,2.68321e+06,37,mutation
149,224.765,2.68029e+06,37,crossover
150,225.982,2.6601e+06,37,mutation
165,242.75,2.66006e+06,37,mutation
167,244.985,2.65847e+06,37,mutation
224,316.559,2.65645e+06,37,mutation
236,329.701,2.65523e+06,37,mutation
248,342.982,2.65341e+06,37,mutation
256,351.903,2.65175e+06,37,mutation
275,375.952,2.65018e+06,37,mutation
279,380.795,2.64445e+06,37,crossover
280,381.904,2.64302e+06,37,mutation
301,404.872,2.64077e+06,37,mutation
344,456.044,2.63316e+06,37,mutation
373,491.436,2.63202e+06,37,mutation
386,506.53,2.6255e+06,37,mutation
414,539.498,2.61936e+06,37,mutation
436,565.575,2.61521e+06,37,crossover
449,582.28,2.60714e+06,36,mutation
502,645.452,2.60619e+06,37,mutation
506,649.763,2.59207e+06,36,mutation
512,656.561,2.59161e+06,36,mutation
520,668.404,2.58063e+06,36,mutation
571,746.079,2.5769e+06,36,mutation
608,809.592,2.57659e+06,36,mutation
611,814.874,2.57562e+06,36,mutation
618,830,2.57342e+06,36,mutation
630,848.298,2.57029e+06,36,mutation
656,890.966,2.56994e+06,36,mutation
701,955.561,2.5689e+06,36,mutation
705,962.877,2.56848e+06,36,crossover
739,1015.92,2.56208e+06,36,mutation
757,1042.23,2.56164e+06,36,mutation
801,1113.48,2.56027e+06,36,crossover
860,1202.19,2.55972e+06,36,mutation
919,1294.92,2.55954e+06,36,crossover
926,1305.38,2.55946e+06,36,mutation
981,1384.53,2.55938e+06,36,mutation
1023,1447.14,2.55819e+06,36,mutation
1137,1613.95,2.55706e+06,36,crossover
1357,1947.5,2.55698e+06,36,mutation
1390,1996.16,2.55628e+06,36,mutation
1400,2007.69,2.55614e+06,36,mutation
1506,2174.06,2.55508e+06,36,crossover
1673,2415.47,2.55507e+06,36,mutation
1694,2452.49,2.55467e+06,36,mutation
1711,2476.64,2.5544e+06,36,mutation
1724,2496.05,2.55386e+06,36,mutation
1746,2530.52,2.55347e+06,36,mutation
1786,2588.83,2.55339e+06,36,mutation
1809,2618.63,2.55302e+06,36,mutation
1972,2863.17,2.55269e+06,36,mutation
2200,3198.7,2.55226e+06,36,mutation
2206,3209.56,2.55111e+06,36,crossover
2275,3310.31,2.55105e+06,36,mutation
2338,3408.36,2.55066e+06,36,mutation
2368,3449.23,2.55036e+06,36,mutation
2579,3771.14,2.55006e+06,36,mutation
2609,3815.58,2.55004e+06,36,mutation
2982,4314.86,2.54995e+06,36,mutation
3243,4634.14,2.5499e+06,36,mutation
3280,4678.06,2.54983e+06,36,mutation
3461,4908.5,2.54982e+06,36,mutation
3533,5001.33,2.54973e+06,36,mutation
3850,5416.73,2.54933e+06,36,mutation
4317,6011.45,2.54829e+06,36,mutation
4484,6219.75,2.54778e+06,36,crossover
4642,6415.31,2.54754e+06,36,mutation
5194,7101.43,2.54729e+06,36,mutation
5466,7448.7,2.54724e+06,36,crossover
5500,7491.01,2.54722e+06,36,mutation
5848,7930.87,2.54706e+06,36,crossover
5882,7980.02,2.54688e+06,36,mutation
5892,7989.8,2.54676e+06,36,mutation
5941,8047.03,2.54663e+06,36,crossover
5971,8084.11,2.54599e+06,36,mutation
6095,8245.7,2.54569e+06,36,mutation
6125,8284.39,2.54519e+06,36,mutation
6133,8298.76,2.54472e+06,36,mutation
6155,8329.66,2.54416e+06,36,mutation
6255,8455.97,2.5432e+06,36,mutation
6259,8461.25,2.54253e+06,36,crossover
6403,8655.91,2.54251e+06,36,mutation
6490,8779.48,2.54245e+06,36,mutation
6513,8812.68,2.54209e+06,36,mutation
6613,8949.95,2.54196e+06,36,mutation
6925,9387.74,2.54179e+06,36,mutation
7197,9765.86,2.54157e+06,36,mutation
7262,9857.7,2.54156e+06,36,mutation
7297,9901.2,2.54123e+06,36,mutation
7569,10266.5,2.54073e+06,36,mutation
7611,10317.9,2.54065e+06,36,mutation
7998,10844.4,2.54062e+06,36,crossover
8062,10928.4,2.54041e+06,36,mutation
8092,10967.2,2.5403e+06,36,mutation
8102,10982.2,2.5398e+06,36,mutation
8296,11249.7,2.53963e+06,36,mutation
8334,11300,2.5396e+06,36,mutation
8503,11535.9,2.53955e+06,36,mutation
8586,11645.8,2.53936e+06,36,mutation
8706,11807.4,2.53838e+06,36,mutation
8801,11932.8,2.53835e+06,36,crossover
8928,12098.2,2.53825e+06,36,mutation
8940,12113.4,2.53791e+06,36,mutation
9429,12741.8,2.53779e+06,36,mutation
9517,12850.6,2.53764e+06,36,mutation
9556,12899.4,2.53752e+06,36,mutation
10236,13734.1,2.53751e+06,36,crossover
10293,13807.2,2.53737e+06,36,mutation
10296,13810.7,2.53733e+06,36,mutation
10844,14499.4,2.53732e+06,36,mutation
10906,14574.1,2.53715e+06,36,mutation
11715,15568.5,2.53708e+06,36,mutation
11826,15706.5,2.53704e+06,36,mutation
12147,16117.9,2.53653e+06,36,mutation
12439,16485.9,2.5359e+06,36,mutation
13108,17346,2.53575e+06,36,mutation
14241,18815.1,2.53573e+06,36,mutation
14532,19214.7,2.53567e+06,36,mutation
14697,19417,2.53566e+06,36,mutation
14872,19643.7,2.53556e+06,36,mutation
15069,19894.6,2.53542e+06,36,mutation
15462,20410,2.53512e+06,36,mutation
15752,20782.5,2.5351e+06,36,mutation
16112,21247.3,2.53509e+06,36,mutation
16300,21504.7,2.53496e+06,36,mutation
