n_iter,elapsed_time,cost,n_routes,mechanism
0,2843.31,3.5068e+06,0,initialization
2,2900.81,3.4711e+06,42,crossover
20,3251.58,3.45156e+06,43,crossover
57,3998.47,3.44904e+06,42,crossover
75,4349.67,3.44594e+06,42,crossover
91,4665.49,3.433e+06,42,crossover
93,4700.72,3.43026e+06,42,crossover
132,5473.16,3.42339e+06,40,crossover
142,5656.06,3.42226e+06,40,crossover
146,5737.19,3.39614e+06,42,crossover
151,5829.67,3.39446e+06,42,crossover
344,9456.5,3.37681e+06,41,crossover
731,17140.6,3.37665e+06,42,crossover
735,17214.8,3.36663e+06,41,crossover
805,18649.4,3.36429e+06,40,crossover
880,20107.5,3.3626e+06,41,crossover
921,21113.9,3.34926e+06,42,crossover
