n_iter,elapsed_time,cost,n_routes,mechanism
0,2806.89,3.4833e+06,0,initialization
5,2931.33,3.46275e+06,41,crossover
24,3310.71,3.42916e+06,42,crossover
89,4613.03,3.41044e+06,41,crossover
256,7850.53,3.40965e+06,41,crossover
285,8393.99,3.39704e+06,41,crossover
298,8634.61,3.39666e+06,41,crossover
413,10833.9,3.39611e+06,41,crossover
449,11536.8,3.39353e+06,41,crossover
473,12007.7,3.39263e+06,41,crossover
619,14872,3.39066e+06,42,crossover
735,17170.5,3.38942e+06,42,crossover
770,17876.2,3.3867e+06,41,crossover
785,18155.3,3.3828e+06,41,crossover
796,18351.1,3.38037e+06,41,crossover
836,19172.8,3.37455e+06,41,crossover
881,20151.5,3.36134e+06,41,crossover
908,20756.6,3.33983e+06,40,crossover
