n_iter,elapsed_time,cost,n_routes,mechanism
0,954.66,3.46511e+06,0,initialization
8,1114.7,3.46366e+06,40,mutation
12,1181.44,3.46165e+06,41,crossover
13,1197.55,3.46111e+06,41,mutation
14,1216.6,3.44695e+06,42,crossover
26,1428.66,3.42186e+06,40,mutation
33,1549.55,3.41642e+06,41,mutation
37,1615.99,3.41448e+06,41,mutation
39,1648.41,3.41439e+06,41,mutation
41,1683.17,3.40872e+06,41,crossover
57,1951.92,3.40686e+06,41,mutation
62,2034.16,3.40615e+06,41,mutation
68,2132.5,3.40607e+06,41,mutation
73,2215.5,3.40494e+06,41,mutation
86,2495.11,3.40354e+06,41,mutation
87,2517.63,3.40324e+06,41,mutation
99,2745.78,3.40042e+06,41,mutation
107,2878.89,3.39879e+06,41,mutation
145,3510.8,3.39286e+06,41,mutation
159,3745.25,3.39019e+06,41,mutation
164,3832.94,3.38434e+06,41,mutation
180,4099.2,3.38196e+06,42,mutation
188,4233.97,3.38046e+06,40,mutation
190,4267.44,3.37866e+06,40,mutation
192,4298.28,3.37788e+06,40,mutation
195,4345.13,3.376e+06,40,mutation
236,5023.11,3.37535e+06,40,mutation
255,5334.08,3.37247e+06,40,mutation
256,5349.94,3.37111e+06,40,mutation
270,5582.72,3.37001e+06,40,mutation
297,6023.16,3.36922e+06,40,crossover
298,6038.84,3.36491e+06,40,mutation
311,6250.92,3.36377e+06,40,mutation
337,6671.5,3.3628e+06,40,mutation
341,6736.83,3.36251e+06,40,crossover
345,6800.89,3.36007e+06,40,mutation
350,6881.45,3.35998e+06,40,mutation
364,7111,3.35989e+06,40,mutation
386,7469.94,3.35987e+06,40,mutation
426,8149.03,3.35984e+06,40,mutation
444,8449.45,3.35971e+06,40,mutation
457,8670.47,3.35927e+06,40,mutation
483,9104.38,3.3592e+06,40,crossover
484,9120.63,3.3582e+06,41,crossover
490,9218.71,3.35774e+06,41,mutation
502,9417.91,3.35646e+06,40,mutation
531,9903.77,3.35491e+06,40,mutation
534,9953.33,3.35488e+06,40,mutation
546,10183.8,3.35433e+06,40,crossover
559,10419.9,3.35399e+06,40,mutation
734,13508.1,3.35334e+06,40,mutation
813,14906.4,3.35104e+06,40,mutation
815,14940.6,3.34898e+06,40,mutation
820,15025,3.34866e+06,40,mutation
831,15239,3.34827e+06,40,mutation
881,16137.9,3.34819e+06,40,mutation
937,17324.2,3.34816e+06,40,crossover
952,17664.3,3.34693e+06,41,crossover
1000,18860,3.34632e+06,40,mutation
1013,19192.2,3.34225e+06,40,mutation
1049,20146.6,3.33784e+06,40,mutation
1060,20493.5,3.33477e+06,40,mutation
1069,20666.5,3.32486e+06,40,mutation
1101,21463,3.32164e+06,40,mutation
