n_iter,elapsed_time,cost,n_routes,mechanism
0,893.052,3.46874e+06,0,initialization
5,1002.52,3.44508e+06,41,crossover
8,1053.71,3.43619e+06,41,mutation
11,1106.1,3.43465e+06,41,mutation
13,1140.66,3.4295e+06,41,mutation
18,1227.94,3.42638e+06,41,crossover
20,1263.1,3.41925e+06,41,crossover
21,1278.99,3.41205e+06,41,mutation
30,1435.94,3.41193e+06,41,mutation
33,1486.87,3.41032e+06,41,mutation
37,1555.4,3.40892e+06,41,mutation
39,1588.1,3.40689e+06,41,mutation
51,1795.6,3.40413e+06,41,mutation
76,2216.63,3.40042e+06,41,mutation
81,2298.93,3.39824e+06,41,mutation
83,2330.1,3.39344e+06,41,mutation
90,2446.18,3.39342e+06,41,crossover
99,2593.7,3.39304e+06,41,mutation
105,2690.77,3.38634e+06,41,mutation
110,2775.8,3.38175e+06,41,crossover
114,2840.15,3.38096e+06,40,mutation
122,2974.97,3.3747e+06,41,mutation
144,3341.86,3.37114e+06,41,mutation
161,3619.43,3.37068e+06,40,mutation
164,3670.32,3.36958e+06,41,mutation
177,3886.47,3.3656e+06,41,mutation
192,4133.85,3.36454e+06,40,mutation
193,4150.22,3.35832e+06,41,mutation
205,4350.79,3.35831e+06,41,mutation
210,4434.41,3.35779e+06,41,crossover
224,4673.4,3.35541e+06,41,mutation
301,5971.46,3.35534e+06,41,mutation
317,6240.68,3.35501e+06,41,mutation
344,6691.49,3.35435e+06,41,mutation
354,6857.44,3.35423e+06,41,mutation
363,7007.3,3.3542e+06,41,crossover
370,7125.76,3.34797e+06,40,crossover
617,11380.4,3.34754e+06,40,crossover
618,11396,3.34746e+06,40,mutation
633,11645.1,3.34698e+06,40,mutation
669,12244.4,3.3455e+06,40,crossover
787,14258,3.33897e+06,40,crossover
825,14913.5,3.33744e+06,40,mutation
843,15257.7,3.337e+06,40,mutation
915,16906.4,3.33584e+06,40,mutation
930,17223.6,3.33577e+06,40,mutation
938,17499,3.3326e+06,39,mutation
940,17551.5,3.33176e+06,40,mutation
1029,19913.8,3.32907e+06,40,mutation
1034,20054.1,3.32882e+06,40,mutation
1044,20264.7,3.32815e+06,40,mutation
