n_iter,elapsed_time,cost,n_routes,mechanism
0,167.716,3.40744e+06,0,initialization
2,173.903,3.40079e+06,48,crossover
12,197.031,3.39378e+06,48,crossover
38,255.47,3.39203e+06,48,crossover
43,266.232,3.38016e+06,48,crossover
51,283.077,3.37854e+06,48,crossover
55,291.42,3.33508e+06,48,crossover
123,440.766,3.31406e+06,48,crossover
222,658.64,3.31263e+06,48,crossover
225,665.609,3.2983e+06,48,crossover
260,744.048,3.29268e+06,48,crossover
339,933.297,3.28344e+06,48,crossover
366,994.11,3.28144e+06,48,crossover
368,998.157,3.2758e+06,48,crossover
390,1049,3.2652e+06,48,crossover
423,1136.91,3.26053e+06,48,crossover
457,1231.43,3.25402e+06,48,crossover
470,1263.36,3.25306e+06,48,crossover
474,1275.42,3.25065e+06,48,crossover
494,1331.4,3.21649e+06,48,crossover
532,1438.77,3.21319e+06,47,crossover
577,1573.02,3.21005e+06,48,crossover
589,1605.99,3.20722e+06,47,crossover
596,1629.75,3.2013e+06,47,crossover
663,1834.69,3.19827e+06,47,crossover
690,1922.53,3.18766e+06,47,crossover
843,2351.27,3.18674e+06,47,crossover
1012,2851.49,3.17762e+06,47,crossover
1400,4010.22,3.17541e+06,48,crossover
1453,4170.28,3.16742e+06,47,crossover
1663,4747.86,3.16158e+06,47,crossover
1850,5296.98,3.15409e+06,47,crossover
2856,8239.52,3.15143e+06,47,crossover
2983,8620.48,3.1469e+06,47,crossover
4134,11850.5,3.1462e+06,47,crossover
4138,11859.7,3.13377e+06,47,crossover
4248,12155.7,3.13342e+06,47,crossover
4944,14143.9,3.129e+06,47,crossover
6370,18182.3,3.11326e+06,47,crossover
6643,18970.2,3.11316e+06,47,crossover
6763,19296.5,3.11271e+06,47,crossover
6949,19809.6,3.11142e+06,47,crossover
7069,20166.4,3.11133e+06,47,crossover
