n_iter,elapsed_time,cost,n_routes,mechanism
0,166.691,3.36646e+06,0,initialization
54,285.834,3.3571e+06,48,crossover
59,296.316,3.35241e+06,48,crossover
66,311.05,3.34056e+06,48,crossover
99,381.848,3.33595e+06,48,crossover
137,472.298,3.33012e+06,48,crossover
190,598.769,3.30981e+06,48,crossover
305,864.754,3.30454e+06,48,crossover
325,914.051,3.28526e+06,48,crossover
350,972.754,3.28363e+06,48,crossover
355,982.537,3.28098e+06,48,crossover
362,1001.32,3.2699e+06,48,crossover
398,1083.77,3.26665e+06,48,crossover
412,1121.14,3.26066e+06,48,crossover
492,1341.14,3.25632e+06,48,crossover
493,1344.43,3.25176e+06,48,crossover
497,1357.83,3.24138e+06,47,crossover
512,1395.02,3.2332e+06,47,crossover
536,1473.05,3.22833e+06,48,crossover
554,1518.3,3.22393e+06,47,crossover
568,1562.66,3.20818e+06,47,crossover
589,1629.22,3.2044e+06,47,crossover
727,2022.99,3.20141e+06,47,crossover
793,2191.91,3.19799e+06,47,crossover
808,2241.19,3.1953e+06,47,crossover
1172,3245.78,3.19153e+06,47,crossover
1212,3352.27,3.18967e+06,47,crossover
1255,3469.02,3.18828e+06,47,crossover
1313,3644.47,3.1869e+06,47,crossover
1351,3745.39,3.18686e+06,47,crossover
1412,3905.75,3.18635e+06,47,crossover
1574,4307.11,3.18549e+06,47,crossover
1586,4347.05,3.1854e+06,47,crossover
1610,4413.88,3.17628e+06,47,crossover
1647,4499.38,3.17524e+06,47,crossover
1831,5028.27,3.17481e+06,47,crossover
1937,5330.72,3.17181e+06,47,crossover
2019,5559.53,3.17153e+06,47,crossover
2184,6010.19,3.17141e+06,47,crossover
2282,6278.65,3.17008e+06,47,crossover
2394,6581.31,3.16982e+06,47,crossover
2521,6954.69,3.16921e+06,47,crossover
2526,6964.5,3.16805e+06,47,crossover
2749,7593.36,3.16698e+06,47,crossover
2864,7904.03,3.1607e+06,47,crossover
3248,9026.02,3.15856e+06,47,crossover
3436,9550.64,3.15602e+06,47,crossover
3823,10623.8,3.15309e+06,47,crossover
3865,10724.1,3.15087e+06,47,crossover
4004,11096.9,3.15083e+06,47,crossover
4587,12679.5,3.14468e+06,47,crossover
4919,13627,3.14401e+06,47,crossover
4963,13747.9,3.14285e+06,47,crossover
5137,14227.7,3.14212e+06,48,crossover
5343,14795.3,3.14211e+06,47,crossover
5355,14826.6,3.14147e+06,47,crossover
5416,14992.2,3.14055e+06,48,crossover
5465,15139.1,3.14e+06,48,crossover
5632,15591.8,3.13875e+06,47,crossover
5638,15608.5,3.13852e+06,47,crossover
5900,16358.8,3.13548e+06,47,crossover
5932,16452.5,3.13528e+06,47,crossover
5994,16608.7,3.13449e+06,47,crossover
6125,16966.1,3.13423e+06,47,crossover
6187,17123.1,3.13375e+06,47,crossover
6952,19225.2,3.13302e+06,47,crossover
7711,21296.9,3.13276e+06,47,crossover
