n_iter,elapsed_time,cost,n_routes,mechanism
0,892.282,3.25884e+06,0,initialization
2,947.017,3.25588e+06,133,crossover
9,1070.89,3.25358e+06,133,mutation
22,1287.08,3.24677e+06,134,mutation
26,1357.95,3.24574e+06,134,mutation
52,1829.53,3.24483e+06,132,crossover
56,1896.84,3.24356e+06,134,mutation
76,2238.19,3.24037e+06,134,mutation
99,2623.3,3.23932e+06,133,mutation
118,2939.24,3.23178e+06,134,mutation
161,3678.01,3.22929e+06,134,mutation
164,3735.39,3.22776e+06,133,mutation
238,5064.24,3.22767e+06,134,crossover
302,6281.6,3.22434e+06,134,crossover
320,6624.74,3.22397e+06,133,mutation
344,7085.91,3.22299e+06,133,mutation
423,8518.44,3.21987e+06,133,crossover
450,9070.75,3.21336e+06,134,mutation
512,10362.3,3.21198e+06,133,mutation
562,11260.5,3.21182e+06,133,mutation
603,12144.7,3.21159e+06,134,mutation
624,12543.2,3.20739e+06,133,mutation
626,12577.1,3.20408e+06,133,crossover
630,12645.7,3.20389e+06,133,mutation
644,12932.1,3.20212e+06,133,crossover
701,14090.3,3.19869e+06,133,mutation
731,14712.9,3.19842e+06,134,mutation
753,15100.2,3.19173e+06,134,mutation
813,16309,3.19085e+06,134,mutation
819,16414.6,3.18371e+06,134,mutation
832,16661.6,3.18266e+06,133,mutation
836,16729.4,3.17875e+06,135,mutation
859,17196.9,3.17467e+06,133,mutation
881,17657.6,3.17429e+06,133,mutation
889,17799.4,3.17222e+06,133,mutation
894,17936.7,3.16662e+06,131,mutation
909,18298.9,3.16119e+06,132,mutation
938,19082.4,3.16013e+06,131,mutation
965,19845.9,3.15328e+06,131,crossover
