n_iter,elapsed_time,cost,n_routes,mechanism
0,1796.04,3.372e+06,0,initialization
0,1816.91,3.36081e+06,135,crossover
2,1860.05,3.35971e+06,137,crossover
4,1902.74,3.33438e+06,137,crossover
23,2304.61,3.31943e+06,137,crossover
32,2485.83,3.31812e+06,138,crossover
41,2674.66,3.30118e+06,137,crossover
44,2730.35,3.30035e+06,136,crossover
49,2830.21,3.29857e+06,137,crossover
67,3209.72,3.2937e+06,136,crossover
74,3361.55,3.28608e+06,137,crossover
91,3718.88,3.27437e+06,136,crossover
113,4168.21,3.26605e+06,136,crossover
188,5734.03,3.2611e+06,134,crossover
352,9092.88,3.25833e+06,135,crossover
372,9495.19,3.24763e+06,134,crossover
468,11445.5,3.24563e+06,134,crossover
511,12321.9,3.24174e+06,134,crossover
579,13717,3.23206e+06,135,crossover
675,15695.8,3.22858e+06,134,crossover
751,17320.2,3.21881e+06,136,crossover
826,19026.3,3.21863e+06,135,crossover
831,19150.8,3.21447e+06,133,crossover
852,19622.3,3.21246e+06,134,crossover
874,20203.1,3.20752e+06,134,crossover
893,20713.1,3.20351e+06,134,crossover
