n_iter,elapsed_time,cost,n_routes,mechanism
0,855.595,3.24688e+06,0,initialization
9,1049.88,3.24103e+06,134,mutation
51,1788.67,3.23981e+06,134,mutation
64,2019.75,3.23942e+06,134,crossover
66,2059.22,3.23922e+06,134,mutation
72,2186.67,3.23804e+06,134,crossover
79,2306.84,3.23736e+06,133,crossover
82,2354.96,3.23163e+06,133,crossover
85,2404.45,3.23073e+06,133,mutation
86,2436.92,3.22597e+06,133,mutation
100,2675.06,3.22556e+06,133,mutation
130,3175.31,3.22334e+06,133,crossover
142,3369.02,3.22286e+06,133,crossover
159,3653.5,3.22121e+06,133,mutation
220,4690.92,3.22111e+06,132,crossover
223,4741.66,3.22033e+06,133,mutation
238,4993.27,3.21769e+06,133,crossover
413,8045.24,3.21405e+06,134,crossover
498,9625.02,3.21357e+06,134,crossover
553,10663.4,3.21187e+06,134,crossover
570,11067,3.21e+06,134,crossover
603,11689.1,3.20728e+06,135,mutation
649,12623.2,3.20669e+06,135,crossover
665,12930.1,3.20385e+06,134,crossover
695,13595.7,3.20081e+06,134,mutation
714,13973.7,3.19624e+06,133,crossover
727,14272.4,3.19516e+06,134,mutation
735,14415.9,3.1941e+06,133,crossover
743,14554.3,3.19371e+06,133,mutation
770,15069.6,3.19011e+06,133,mutation
815,15973.7,3.18992e+06,133,mutation
818,16055.8,3.18781e+06,134,mutation
844,16723,3.1869e+06,133,mutation
872,17437.6,3.18654e+06,134,mutation
880,17691,3.17726e+06,135,mutation
887,17912.5,3.17614e+06,136,mutation
905,18291.7,3.17236e+06,133,mutation
923,18776.6,3.16668e+06,132,mutation
943,19383.6,3.16664e+06,132,crossover
961,19948.2,3.15714e+06,131,mutation
964,20031.4,3.15337e+06,131,crossover
